mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l3	adaboost	0.00000	0.00000	0.00000	0.84569	0.00000	0.00000	0.00000	0.00240
auto	l3	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l3	DecisionTree	0.15800	0.15774	0.17255	0.73442	0.03597	0.02731	0.04289	0.01439
auto	l3	GradientBoosting	0.00381	0.15000	0.00193	0.84643	0.00803	0.33747	0.00407	0.00134
auto	l3	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l3	randomForest	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l4	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l4	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l4	nearestCentroid	0.25347	0.16610	0.54375	0.51279	0.03685	0.02381	0.10964	0.05487
auto	l4	adaboost	0.00000	0.00000	0.00000	0.84598	0.00000	0.00000	0.00000	0.00163
auto	l4	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l4	DecisionTree	0.18112	0.17341	0.19284	0.73768	0.02632	0.02536	0.04354	0.00839
auto	l4	GradientBoosting	0.00377	0.12000	0.00194	0.84524	0.00796	0.31552	0.00409	0.00241
auto	l4	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l4	randomForest	0.00000	0.00000	0.00000	0.84702	0.00000	0.00000	0.00000	0.00102
auto	l5	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l5	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l5	nearestCentroid	0.26447	0.17363	0.56104	0.52226	0.03355	0.02439	0.07846	0.05037
auto	l5	adaboost	0.00377	0.07500	0.00194	0.84450	0.00796	0.16874	0.00409	0.00371
auto	l5	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l5	DecisionTree	0.17287	0.16421	0.18322	0.73887	0.04345	0.03245	0.04813	0.00757
auto	l5	GradientBoosting	0.01698	0.30833	0.00874	0.84584	0.02259	0.40455	0.01162	0.00393
